,spearman_home_goals,spearman_away_goals,spearman_total_goals,spearman_goal_diff,rf_home_goals,rf_away_goals,rf_total_goals,rf_goal_diff,abs_spearman_mean,rf_importance_mean,abs_spearman_mean_z,rf_importance_mean_z,combined_score
home_ctx_playingtime_team_success_ppm,0.17779028799569202,-0.15307153149231884,0.039579952522791076,0.23495998512351932,0.0009386126487224506,0.001251082116882628,0.0006647960561216473,0.0009614202489179111,0.1513504392835803,0.0009539777676611593,1.4953594334344702,-0.4309494225167059,1.0644100109177643
home_ctx_shooting_standard_sh_90,0.19197934025448957,-0.1282476286328983,0.055790101869000894,0.2295215334092706,0.0010676253608996906,0.0007154378164375672,0.0010471942635180123,0.0007474548822874345,0.15138465104141485,0.0008944280807856761,1.4960078961269434,-0.43752899417721525,1.0584789019497283
home_ctx_keepers_performance_l,-0.16174452286088375,0.17959959108921522,-0.009305022736099422,-0.2387505408845345,0.000820377149243919,0.0007766902457844766,0.0015168119131553437,0.0006499356717438949,0.14734991939268322,0.0009409537449819085,1.4195320552480166,-0.4323884307638091,0.9871436244842076
home_ctx_shooting_standard_sot,0.19215765922383019,-0.10679694832226667,0.07105976636554286,0.21879219687729812,0.0013284531375914828,0.0006108327456595986,0.0007603290609594389,0.000965607070513629,0.14720164269723446,0.0009163055036810374,1.4167215622699378,-0.4351117846293585,0.9816097776405793
home_ctx_shooting_standard_sot_90,0.19215765922383019,-0.10679694832226667,0.07105976636554286,0.21879219687729812,0.0008823425584405735,0.00039911267992085835,0.0006856184071893179,0.000646145374051277,0.14720164269723446,0.0006533047549005066,1.4167215622699378,-0.464170413887769,0.9525511483821689
home_ctx_playingtime_team_success_ong,0.19660135665532671,-0.08041428097152029,0.09833661024823176,0.21053867798758247,0.001045948465357796,0.000759942200184997,0.0006488875524163224,0.0003328024432507087,0.1464727314656653,0.0006968951653024561,1.402905501075913,-0.4593541630559159,0.9435513380199971
home_ctx_keepers_performance_w,0.1760672481895547,-0.12723702222380698,0.055324978407576844,0.21640668907070956,0.0013007066665146033,0.0007306258207891237,0.0010680777902572203,0.0013288996264219151,0.14375898447291202,0.0011070774759957156,1.351468106653732,-0.41403362404581584,0.9374344826079162
home_ctx_stats_performance_ast,0.18372539210231134,-0.11034074444586317,0.07200685259826083,0.21229893561909516,0.0005357362316115063,0.00042641030761697855,0.000663298101171013,0.0005978188049805542,0.1445929811913826,0.000555815861345013,1.3672759982034348,-0.47494184183151883,0.892334156371916
home_ctx_stats_per_90_minutes_ast,0.18372539210231134,-0.11034074444586317,0.07200685259826083,0.21229893561909516,0.0004703170655676845,0.0008635661228974901,0.0005353220491460236,0.00031005841811612597,0.1445929811913826,0.0005448159139318311,1.3672759982034348,-0.4761572124919591,0.8911187857114757
home_ctx_stats_performance_gls,0.1916725464931521,-0.08021925164168091,0.09557772822016349,0.2066639258621619,0.0005935168415703455,0.00010284815309687612,0.000497268068264359,0.0002978338201066823,0.1435333630542896,0.00037286672075956576,1.347191592324738,-0.49515566735888883,0.8520359249658491
home_ctx_shooting_standard_gls,0.1916725464931521,-0.08021925164168091,0.09557772822016349,0.2066639258621619,0.00018555459703535864,0.00013726358587512033,0.0008484551324258814,0.0001708464716903655,0.1435333630542896,0.00033552994675668145,1.347191592324738,-0.499280961596588,0.8479106307281499
home_ctx_stats_per_90_minutes_gls,0.1916725464931521,-0.08021925164168091,0.09557772822016349,0.2066639258621619,0.00036634646867944506,0.0004593651212982927,0.00032494711396984237,0.0001367267909871846,0.1435333630542896,0.00032184637373369117,1.347191592324738,-0.5007928427499655,0.8463987495747725
home_ctx_stats_performance_g_a,0.18593194948077885,-0.09258311723145302,0.08461789858493667,0.20678750692479123,0.0005230811085205616,0.00035785210527340087,0.00017839580357081208,0.0005090821582311293,0.14248011805548993,0.00039210279389897593,1.3272279853373812,-0.4930302972968734,0.8341976880405078
home_ctx_stats_per_90_minutes_g_a,0.18593194948077885,-0.09258311723145302,0.08461789858493667,0.20678750692479123,0.0004759074580358698,9.516830975684213e-05,0.00027586952768753216,0.00016483863039267892,0.14248011805548993,0.0002529459814682307,1.3272279853373812,-0.508405562348235,0.8188224229891462
home_ctx_stats_per_90_minutes_g_a_pk,0.18344605341820414,-0.09144146081252796,0.08488642745693031,0.20176914634882984,0.0007644909981303086,0.00018528479339790258,0.0007906916096332683,0.0006323336554225951,0.14038577200912306,0.0005932002641460186,1.287530952441101,-0.4708112851464957,0.8167196672946053
home_ctx_stats_performance_g_pk,0.1835449328145747,-0.07232239208156735,0.09815830808729088,0.1934037375924541,0.0007052675984602456,0.000593762063157749,0.000588569982363466,0.0003776636240729321,0.13685734264397176,0.0005663158170135981,1.2206517579433278,-0.4737817146439808,0.746870043299347
away_goals_scored_10,-0.04706615009772913,0.11631822973843634,0.05179594215402914,-0.10752326188981105,0.011067019003187463,0.010144606551528556,0.009723109805272695,0.009789918291139284,0.08067589597000141,0.010181163412782,0.1557672128863776,0.5885509705557216,0.7443181834420992
home_ctx_stats_per_90_minutes_g_pk,0.1835449328145747,-0.07232239208156735,0.09815830808729088,0.1934037375924541,0.00037693952106002273,0.0002365869291251794,0.0005259345549031272,0.0005204359402117937,0.13685734264397176,0.00041497423632503075,1.2206517579433278,-0.4905032597536518,0.730148498189676
home_ctx_keepers_performance_sota,-0.12695045878560338,0.15767899057259424,0.013066332278168278,-0.19593233691059872,0.0017741186872818992,0.0017735081795174994,0.0014206212480212174,0.002420697905543777,0.12340702963674116,0.0018472365050910982,0.9657094007146666,-0.33225436327003827,0.6334550374446284
home_ctx_keepers_performance_ga90,-0.1373063928749805,0.1547394674317131,-0.0021685969107234906,-0.2049550120750849,0.0008661323138333102,0.000518674142389759,0.0003230173318962249,0.0005608458697182226,0.12479236732312549,0.0005671674144593792,0.9919676190278506,-0.47368762268960757,0.518279996338243
